"","URN","SCHNAME","TOWN","ADDRESS3","LANAME","POSTCODE","SCHOOLTYPE","GENDER","AGELOW","AGEHIGH","P8MEA","P8MEA_FSM6CLA1A","P8MEA_NFSM6CLA1A","EBACCAPS","PTEBACC_95","OVERALL_DESTPER","EMPLOYMENTPER","EDUCATIONPER"
"1",106812,"Hill House School","SOUTH YORKSHIRE","DONCASTER","Doncaster","DN9 3GG","Other independent school","Mixed",3,18,NA,"NP","NP",NA,NA,NA,NA,NA
"2",107455,"Bradford Grammar School",NA,"West Yorkshire","Bradford","BD9 4JP","Other independent school","Mixed",6,19,NA,"NP","NP",NA,NA,NA,NA,NA
"3",107583,"Rishworth School","Sowerby Bridge","West Yorkshire","Calderdale","HX6 4QA","Other independent school","Mixed",3,19,NA,"NP","NP",NA,NA,NA,NA,NA
"4",108300,"Ackworth School","West Yorkshire","Pontefract","Wakefield","WF7 7LT","Other independent school","Mixed",2,21,NA,"NP","NP",NA,NA,NA,NA,NA
"5",108303,"Silcoates School","West Yorkshire","Wakefield","Wakefield","WF2 0PD","Other independent school","Mixed",3,19,NA,"NP","NP",NA,NA,NA,NA,NA
"6",131122,"Al-Mahad Al-Islami","South Yorkshire","Sheffield","Sheffield","S9 5FP","Other independent school","Girls",11,17,NA,"NP","NP",NA,NA,NA,NA,NA
"7",134587,"The Fountain School","Bradford","West Yorkshire","Bradford","BD5 8BP","Other independent school","Mixed",10,16,NA,"NP","NP",NA,NA,NA,NA,NA
"8",138441,"Compass Community School North","West Yorkshire","Elland","Calderdale","HX5 0SH","Other independent special school","Boys",11,17,"NP","NP","NP","SUPP","SUPP",NA,NA,NA
"9",142320,"Park House School","South Yorkshire","Barnsley","Barnsley","S75 3DH","Other independent special school","Mixed",7,17,"NP","NP","NP","NE","NE",NA,NA,NA
"10",142324,"Stafford Hall School","Halifax","West Yorkshire","Calderdale","HX3 0AW","Other independent special school","Mixed",11,19,"NP","NP","NP","SUPP","SUPP",NA,NA,NA
"11",142784,"Broadbeck Learning Centre","West Yorkshire","Bradford","Bradford","BD6 2LE","Other independent special school","Mixed",6,18,"NP","NP","NP","SUPP","SUPP",NA,NA,NA
"12",143102,"TLG Wakefield","West Yorkshire","Normanton","Wakefield","WF6 1HY","Other independent school","Mixed",11,16,NA,"NP","NP",NA,NA,NA,NA,NA
"13",144811,"Rida Girls High School","West Yorkshire","Dewsbury","Kirklees","WF12 9LX","Other independent school","Girls",11,16,NA,"NP","NP",NA,NA,NA,NA,NA
"14",146571,"Abbeywood School","South Yorkshire","Rotherham","Rotherham","S66 8QN","Other independent special school","Mixed",10,18,"NP","NP","NP","0.68","0%",NA,NA,NA
"15",146633,"Southway Independant School",NA,"West Yorkshire","Leeds","LS10 3JA","Other independent school","Mixed",11,16,NA,"NP","NP",NA,NA,NA,NA,NA
"16",148255,"LS-TEN","West Yorkshire","Leeds","Leeds","LS10 1NT","Other independent school","Mixed",11,16,NA,"NP","NP",NA,NA,NA,NA,NA
