"","shortPostcode","District","County","Population2021","Population2022","Population2023","Population2024"
"1","S17","SHEFFIELD","SOUTH YORKSHIRE",16646.0630025851,16727.9616325579,16803.4047395207,16874.3151075215
"2","S73","BARNSLEY","SOUTH YORKSHIRE",28851.3246472369,28993.2731645013,29124.0328264732,29246.936245001
"3","S5 6","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"4","S71","BARNSLEY","SOUTH YORKSHIRE",47945.2752670379,48181.1660213517,48398.463080108,48602.704594306
"5","S10","SHEFFIELD","SOUTH YORKSHIRE",50632.3979742433,50881.5093722766,51110.9849795456,51326.6733361592
"6","DN2","DONCASTER","SOUTH YORKSHIRE",26220.8066711451,26349.8130399672,26468.6506967774,26580.3484027178
"7","S6 2","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"8","S13","SHEFFIELD","SOUTH YORKSHIRE",32755.9830802827,32917.1425170377,33065.5988297895,33205.1356568512
"9","S5 7","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"10","S5 9","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"11","S74","BARNSLEY","SOUTH YORKSHIRE",18914.5243023087,19007.583761876,19093.3079646421,19173.8817242529
"12","S4 7","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"13","S62","ROTHERHAM","SOUTH YORKSHIRE",21334.6435608649,21439.6100071844,21536.3026483168,21627.1858454927
"14","S2 4","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"15","DN8","DONCASTER","SOUTH YORKSHIRE",18471.298577551,18562.1773665526,18645.8927864757,18724.5784540346
"16","DN4","DONCASTER","SOUTH YORKSHIRE",57047.9568383861,57328.6327860309,57587.1849198959,57830.2028402579
"17","DN1","DONCASTER","SOUTH YORKSHIRE",9329.10049580272,9374.99967024207,9417.28091875486,9457.02184423201
"18","S75","BARNSLEY","SOUTH YORKSHIRE",46563.2654168297,46792.3566826805,47003.3902113193,47201.7445180111
"19","DN7","DONCASTER","SOUTH YORKSHIRE",26283.8194850263,26413.1358768927,26532.2591196974,26644.2252531826
"20","S64","DONCASTER","SOUTH YORKSHIRE",32783.7514389422,32945.0474960218,33093.6296602289,33233.284777395
"21","DN3","DONCASTER","SOUTH YORKSHIRE",32114.1067897301,32272.1081951355,32417.6554030956,32554.4579088966
"22","S20","SHEFFIELD","SOUTH YORKSHIRE",33516.4089020356,33681.3096338336,33833.2123402822,33975.9884963582
"23","S12","SHEFFIELD","SOUTH YORKSHIRE",36677.729734042,36858.1841643335,37024.4145749147,37180.6576044208
"24","S8 9","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"25","DN12","DONCASTER","SOUTH YORKSHIRE",25759.4247118793,25886.1610814618,26002.9076679392,26112.6399382979
"26","S60","ROTHERHAM","SOUTH YORKSHIRE",39831.5744694863,40027.5458158761,40208.0700475057,40377.7481031062
"27","S61","ROTHERHAM","SOUTH YORKSHIRE",38256.254122456,38444.4748927385,38617.8594745048,38780.8268414872
"28","S9 1","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"29","S65","ROTHERHAM","SOUTH YORKSHIRE",37994.5907427798,38181.5241292343,38353.7228030571,38515.575513286
"30","DN6","DONCASTER","SOUTH YORKSHIRE",33266.4936741,33430.1648229765,33580.9348663282,33722.6464114641
"31","S11","SHEFFIELD","SOUTH YORKSHIRE",36721.5182996205,36902.1881696546,37068.6170382998,37225.0466022014
"32","S8 8","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"33","S70","BARNSLEY","SOUTH YORKSHIRE",41480.5877683437,41684.6722601639,41872.6701320572,42049.3728000145
"34","S36","BARNSLEY","SOUTH YORKSHIRE",29206.9732408377,29350.6715491826,29483.0430778694,29607.461519658
"35","S66","ROTHERHAM","SOUTH YORKSHIRE",49324.0810758623,49566.7555547555,49790.3016223075,50000.4166951536
"36","S72","BARNSLEY","SOUTH YORKSHIRE",27078.4217482063,27211.6475832075,27334.3721138078,27449.723164128
"37","S3 8","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"38","S6 1","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"39","S4 8","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"40","S6 4","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"41","S6 3","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"42","S63","ROTHERHAM","SOUTH YORKSHIRE",40687.0535189583,40887.2338222715,41071.63524681,41244.9575475515
"43","DN10","DONCASTER","SOUTH YORKSHIRE",12908.0147214965,12971.5221539262,13030.0237188404,13085.0104189339
"44","S8 7","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"45","S26","ROTHERHAM","SOUTH YORKSHIRE",27648.741114521,27784.7729208044,27910.0822466773,28027.8627937582
"46","S6 5","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"47","S2 2","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"48","S6 6","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"49","S3 7","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"50","DN11","DONCASTER","SOUTH YORKSHIRE",30280.3271044074,30429.3063137611,30566.5424852361,30695.5332945238
"51","DN5","DONCASTER","SOUTH YORKSHIRE",43643.3157024021,43858.0408156579,44055.8405797365,44241.756226983
"52","S8 0","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"53","S5 8","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"54","S7 2","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"55","S9 4","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"56","S35","SHEFFIELD","SOUTH YORKSHIRE",44216.8391101005,44434.3859585222,44634.7850391952,44823.1438320606
"57","S25","ROTHERHAM","SOUTH YORKSHIRE",22536.1590797863,22647.0369824588,22749.1751192497,22845.176638253
"58","S9 3","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"59","S2 3","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"60","S7 1","SHEFFIELD","SOUTH YORKSHIRE",NA,NA,NA,NA
"61","S81","ROTHERHAM","SOUTH YORKSHIRE",39883.9071454215,40080.135968577,40260.8973817953,40430.7983687464
